sentiment,txt
1,واله رفعتوا راسنا يا شباب اله يقويكم  
1,﻿صباح الخير و النور و الانوار  
0, نيله تنيلكم من وين جايبين هالحثانه  
1,وجعلنا من الماء كل شيء حي  
1,ربك دايما جنبك لو ناديتوا ها تلاقه  
0,﻿و هكذا جنت علي نفسها براقش  
1,ده عمله نادرهالاخلاق ملهاش علاقه بالدين  
1,الاهم نكون صادقين مع نفسنا لنكون صادقين مع الاخرين  
1,هذا الشخص هو انت يامصطفي  
1,اله يهدي النفوس  
0, سخافه الشامين ابدا ما ينفع لهم الكوميديا  
1,﻿الهم ارزقنا العمل الصالح و الزريه الصالحه و ارزقنا يا اله حسن الخاتمه  
1,يارب تهدينا الي الصراط المستقيم  
1,حينما نجح في الانتصار علي انفسنا  
0,﻿انا له و انا اليه راجعون و اله يستر هالبلد  
1,﻿كن كما انت و لا تغير من اجل احد  
0,﻿ ابو معيتق قطع اوتار العود وقال السلام عليكم  
1,الهم يا محول الاحوال حول حالي ان احسن حال  
0,بطلت اتجوز  
0, ناس تبي تمصخر ماتدري شلون  
0,﻿حسبنا اله و نعم الوكيل فيكوا  
1,مفيش اكرم ولا ارحم من ربنا  
1,ونعمه باله  
1,﻿الهم لا تدع لي ذنبا الا غفرته الهم اصلح لي ديني  
1,اصدقاء اوفياء ونتعلم منهم  
1,الهم اهدنا الي صراطتك المستقيم  
0,﻿ ولا مستحيل يطلع واحد يفشل نفسه كذا  
1,قولي يارب ثم توكلي عليه انه نعم المولي و نعم الوكيلو احتسبي عنده ما تظنين انك لا تقدرين عليه  
0, وين القناه التافه الي تعرض هذول المعاتيه صحيح نحن في انحطاط  
0,﻿خليه يرفع لكن الي عنده وطنيه و انتماء يصف سيارته بالشارع و يروح علي الشغل مشي  
1,ربنا المستعان ادعولنا ارجوكم  
1,الحمد انا متفاءله جدا في كا امور حياتي ورح اضل هيك داءما  
1,حقيقه  
0, ولا انا صوتي كذا اجي اهبال هو  
1,الهم كن مع اخوانا في سوريا  
1,﻿مش عارف ليه بيتحوله و هما الي دواره عليك وكان نفسهم تكون معاهم في الاول  
0,كلمه حب عجبتني جيت اقءلها جرحتني  
0, اغبياء  
0, عرب اغبياء  
1,الهم ارزقنا رزقا حلالا  
0, مياعه وسءاله من عدوله والي معو  
0,﻿ كتكوت ضعيف الجناح و الدنيا غدرت ها  
0,كلهم معندهمش احساس  
1,عجبتني  
1,يارب ساعدني وقويني وساعدني اخد حبيبي  
0, فعلا مهزله  
1,ياله ما اروع هاءولاء الناس  
1,﻿ربنا يبارك فيه و يكون قدوه لجميع المسلمين في انحاء العالم  
1,﻿الهم انك عفو تحب العفو فاعف عنا  
0,انت عنجد بنت فاشله  
0, فطست ضحك علي الشايب  
0,تحطم ماتبقي من اطيافي  
1,﻿ناس عزيزه و المعزه لهم غير فيهم صفات الصالحين العليه  
0,﻿ يخرب الدلع  
0,﻿يا جاهلين يلي بحكي عن الطاقه النوي وجودو كفيل بوفاه شخص ولاده طفل مشوه ولو انو اشي منيح كان ما بزتوه بالصحرا وجودو بعيد بقل مخاطر بس ما بمنعها و يلي بحكي انو احنا امه جاهله ما بدها تطور بكون هوه الجاهل و عدو نفسو و عدو الانسانيه و بلا نوي و بلا زفت قال نتطور قال لو بدنا نتطور طورنا حالنا من زمان مش علي دور النوي شعب جاهل  
1,التشاءم يقتل الحياه  
0,﻿ اخ يا بطني عورني من الضحك  
1,﻿اله اله عليك يا استاذ عمر و بارك اله لك و بارك عليك و جزاك اله عنا خيرا كثير  
1,بارك اله فيك انانضال فدعولي بزوجه صالحه  
1,﻿صباح الاماني المحقه باذن اله  
1,يجب علي المسلم ان يواسي اخوه في الاسلام  
1,﻿الهم اجعلنا داءما مسلمين صادقين في افكارنا و في اعمالنا  
1,﻿الحمد له علي القضا و القدر  
1,كلام سليم  
1,سلامي عليك  
0, طلعوا العرب اخس واخس واخس  
0,﻿ صوتها بعير ومصدقه حالها  
1,يا رب خد بيايدينا ياجبرنا ياجبار السموات والارض  
0, تدرون الشره ع الي شجعهم يروحون لبرنامج  
1,يارب انت المستعان فاعنا واهدنا يارب الكون اجمع استجب  
1,انت يا دكتور خير اخ ربنا يزور عليك  
1,وان مدحتك بالقصاءد ماوفيت  
0,تليفيزيون المستقبل صار سيء لغايه ما ادري ليش  
1,لان بالفعل في شي  
0,﻿ واله ما يحر عزبت بنقاليه  
0,﻿ ثانيه كانه جورج وسوف وهو في الحمام معه اسهال تكرمون جميعا  
1,الوفاء اصبح شء نادر يكاد يكون معدوم  
0, قمه التخلف والانحطاط  
1,ربنا يستر واخلاق المتاسلمين لا ترجعه مره اخري  
1,اله يعين الجميع  
1,اله يزيدك من العلم ما تنتفع به الامه  
1,المهم الدعاء في السجود حتي تغسل عينيك الدموع  
1,في ناس كتيربناكرمهابنعمه الاسلام ولكنهالاتدرك قيمتها  
0, متي يجي عام عشان ادخل رجلي مع الشاشه واحطها بفمك  
0,﻿التقدم و الازدهار يكون مرتبط بقواعد الامن قبل الشروع في بناء المفاعل عليكم قراءه التقارير الصادره عن هيءه الطاقه و المخاطر التي سيجنيها الاردن جراء انشاء المفاعل يا عزيزي ديمونه انتهي عمره وسيكون المفاعل الاردني بديل في ارض ستكون مكبا لنفايات النويه المطلع اله  
1,﻿الهم اجعلنا من يتمتعون بروح و ريحان  
1,يارب اعيني علي دكرك وشكرك وحسن عبادتك  
0,وقعنا ولا ما وقعنا يلي بدهم يعملوه بيعملوه  
0,انا ضد وجود المفاعلات النويه في الاردن  
1,كلام بليغ الهم ارزقنا الزوج الصالح من يعرف معني رفقا بالقوارير  
1,﻿الهم اعنا علي انفسنا و اجعلنا نري الدنيا صغيره و الاخره كبير  
0,كلاب بتعوي  
0,عيب عليكوا تقارنوا وحده زي دي بالمصحف الي هوا كلام ربنا  
1,عمل السريره هو العمل الخالص له الهم ارزقنا عمل السريره  
1,الهم اكثر من امثالهم  
1,الهم قو ايمانا لنكون اصحاب عزيمه و قرار  
1,﻿الاسلام هو حسن الخلق الا تعرف بان الحبيب صلي اله عليه و سلم لقب امينا قبل نزول الوحي  
0, الجيل الي هيحر فلسطين شوفه في سوريا يقاتل العلوين الكلاب لكن ربي يعلمهم فنون القتال ويربيهم  
0,و الي اسماء الاسد كس اخت زوجك  
0,احلي زباله بوجهك  
0,احسن من هيك رءيس وزراء ما في   
1,اهلا وسهلا بك بينا يا طارق  
1,يارب اجعلني من المصلحين  
0, خساره فيك اسمك  
0,﻿الهم انا نشكو اليك ضعف قوتنا و قله حيلتنا حسبنا اله و نعم الوكيل  
0,﻿ سبحان اله غصبن علي الي مايرضي ودهم يروحون النار حتي بالحرام موفالحين  
0,﻿ما ازنخك انت و مقالاتك  
0, العجوز هذا والرجال الي بجنبه بله واغبياء وانهم يثبطون الواحد  
0, من اجل هذا تم قدوم ٢٠ الف من الجيش الامريكي  
0,﻿ برنامج قديم  
1,ربنا يباركلك يا استاذي و يعزك  
0,ﻣﻴﻦ ﺑﻀﻞ ﻳﺸﻴﻞ ﺍﻟﺸﺒﺸﺐ ﻣﻦ ﺟﻤﺒﻲ  
1,الهم اصلح بنات المسلمين  
0, صوته مره منبح احسه تعبان عاد زبدوله مابقي الا يطلع بعد شوي  
1,الهم ثبتنا وثبته علي دينك الحنيف وسنه نبيك  
0,اله اكبر علي كل ظالم  
1,الهم اهدنا لكل عمل يقربنا الي حبك  
0, لو يطلع عليهم من مخيم اربد و من مخيم الحصن و من مخيم الزرقا و من مخيم عمان و من مخيم البلقاء و من مخيم الشهيد عزمي المفتي بفضحو عرضاتهم كلهم  
1,﻿انت مو انت و انت جوعان كل شوكولاته و افرح  
1,اله اكبر وله الحمد  
0, بس انا دايم احسها خشنه و رجال  
1,﻿الهم اصلح حالي و احفظني و نور قلبي و اجعل طريق الخير طريقي و اجعل عملي خالصا لوجهك الكريم و توب علي و اغفر لي زلاتي  
1,﻿الهم ثبت قلوبنا علي الايمان  
1,الحمد له الحمد له الحمد له لن يسعنا الكون حمدا و شكرا فضلك ربي اعظم و انت ربنا الاكرم  
1,الحمدله من كل ضيق اسجد له احس ان في اعله مستوا وانسا واتذل الي اله ليحميني من فتن الدنيا واحسن منزلي في الجنه  
1,هذه من اقوال الرفيق المناضل  
0, طول عمري بخاف من العوب العب  
1,لا تحزن الدنيا ما فيها اشي تحزن عليه  
1,سعادتنا تكون بحسن الاستمتاع بالاشياء التي نحصل، عليها كما تكون بحسن الاستغناء عن الاشياء التي نحرم منها  
0, مهزله  
1,بارك اله لكما وبارك عليكما وجمع بينكما علي خير  
1,اله يستر علي بنات المسلمين جميعا  
0, طول عمر بخاف ان امثالك يصبحوا مطربين  
1,نفسي اروح عمره واشوف الكعبه  
0, واله انك مسخره يا عجوز  
0,﻿ اظن انهم حبو وانجرحوا وضاعت عقولهم وما دخل قلوبهم الا اغاني الجروح عشان كذا حافظينها وجاين يقولونها الهم لاشماته  
0,بس  مقز  
0, هذه رويدا عطيه يا الخبول  
0,الي موافق عالمفاعل يبنيه جنب داره ما يسطح الواحد غير المتحذلقين الي يخلوا حالهم مثل ابو العريف ما حد يفهم غيرهم رابع افقر دوله في العالم في المياه وتبني مفاعل نوي استنوا لما يطورو مفاعلات نويه صحراويه وبعدين اشطحوا  
1,ماشاء اله عليكم بجد موضوع مهم جدا والاهم الرقي الراءع في الحوار  
1,ضع امنياتكم في سجده انساها وتاكد ان اله لن ينساها ابدا  
1,انا مش عارفه كيف ابدا حياتي  
0, اقرفني شعر تقول حاط دبر امل وجاي  
0, يخرب زوءك  
0, التاسعه تبي تكسر الكميرا  
0,﻿ياخساره العروبه فيك  
0,﻿اخر واحد مهستر  
0, مش طبيعي سماكه الدم شو ها عدوله خرب المفطع لشو المبالغه والاوفر يعني  
1,الابتسامه كلمه طيبه بغير حروف  
0,لاسف البعض يعتقد ان المفاعل النوي سيحل مشاكلنا الاقتصاديه ولكن الاردن لا يمتلك موارد ماليه وهذا يعني الحاجه لشريك اجنبي كما اعلنت هيءه الطاقه يملك غالبيه الاسهم كما في تركيا علي سبيل المثال وذلك يعني ان هذا الشريك سيمتلك الجزء الاكبر من المفاعل ولن يكون ملك لاردن وبالتالي ستقوم الحكومه ايضا بدفع تكاليف الكهرباء لمستثمر وبالتالي المفاعل النوي لن يوفر لك الكهرباء بسعر قليل  
0, السلام عليكم الحقيقه انا لا اعرف شو وقاحه هاي الجنه المشترك يعطي ما عنده من مواهب هذا ما عنده وهم يعطون ما عندهما  
1,اسعد اله صباحكم علامتنا بالخيرات  
0,مسخره  
1,متخافش يامءمن قول يارب وحب ربك ده هو الي خلق النعمه الي انت متعلق بيها يعني هو اعظم من النعمه دي وانت عارف كده  
0, دمهم ثقيل  
0,﻿لاسف البعض يعتقد ان المفاعل النوي سيحل مشاكلنا الاقتصاديه و لكن الاردن لا يمتلك موارد ماليه و هذا يعني الحاجه لشريك اجنبي كما اعلنت هيءه الطاقه يملك غالبيه الاسهم كما في تركيا علي سبيل المثال و ذلك يعني ان هذا الشريك سيمتلك الجزء الاكبر من المفاعل و لن يكون ملك لاردن و بالتالي ستقوم الحكومه ايضا بدفع تكاليف الكهرباء لمستثمر و بالتالي المفاعل النوي لن يوفر لك الكهرباء بسعر قليل  
1,احلي صباح من احلي شيخ في العالم  
0,﻿ رهيب حسن تعالي تعالي  
1,بارك اله في دين الاسلم  
1,صباحكم سعاده وعباده مقبوله ان شاء اله  
1,﻿احب اله تعالي و رسوله الكريم  
1,اذا دم البشر احمر  
0,نحن نرفض المفاعل النوي  
1,اله يبارك فيك ومرحبا ياخي في الاسلام  
0,﻿ السماعات خربت  
0, واله هبل في هبل  
0, حتي بالستايل مقلده اله ياخذ عمره الغبي  
1,﻿صدقت يا رب اجعلنا راضين بقدرك  
0,هو في حد اساسا لسه بيتابع البت دي هاي عنجد بتقرف  
1,﻿الحمد له اكسجين يعيد لصدر انفاسه ، ف تجدها ب الصوت السعيد و الصوت المتءاكل من البكاء  
1,﻿و اله و بالنهايه يكونو راءعون  
0,﻿ الهم لا شماته ليش ياربي يحرجوا انفسهم  
1,يارب عوضنا خير ما اخذ منا  
1,انه غير مسلم ويعرف قلبه الوفاء فكيف حال المسلمين الهم ارزق بنات المسلمين زوجا طيبا محبا مثله  
1,عليك بتقوي اله ان كنت غافلا  
1,الحمد له ع السلامه  
1,كلام جميل  
0,﻿ هالانسان مجنون لابس بدله رياضه وجاي يغني حتي لو صوتك زين البس عدل  
1,كلنا ما انتصرنا علي نفسنا وعلي الحاجه دي الي متعبتنا ومبعدتنا عن اله ،  
1,قول يا رب وخد قرار   
1,والحاجه الي انت بتحبها دي هي مش اكتر من حاجه زينها الشيطان واقنعك بحلاوتها بس هتندم بعدين  
0,انتخب مين يا عم هي ناقصه لبخه في الكلام معتش الا الاهبل ده كمان يبقي رءيس جمهوريه  
1,﻿نحن نحبك في اله و ندعو لك بظهر الغيب  
1,﻿و نعم الصديق  
1,ياله ارحم احبتي واشفهم وعافهم واعف عنهم  
0,ه شكلو عمرو ماشاف كاميرا تصورو  
1,صلوا علي من بكي شوقا لرءيتنا  
0, برنامج معوق ومشاركين معوقين  
0,يلعن شرف خواتك  
0, خبر عاجل يمنع لجميع المجانين التقدم الي سوبر ستار  
1,صباح الورد والفل  
0,الوحيد الذي لايتركني ولو لحظه  
0, يلعن ام الي باخر المقطع حق عدوله يا هو ثقيل دم  
1,﻿الهم اصلح حال المسلمين و اجعلهم من الرباتين حتي نحرج ما نحن فيه لانه ان خلصت النوايا صلحت الاعمال  
1,يا طيبه بالروح افتدينا  
1,انا اخدت قرار وبعدت عن معصيه له وقدرت وربي وفقني  
0, وجه حسن عزاب  
1,جزاك اله خيرا  
0, تفو كس امك حماره  
0, تضرب منك لعدوله  
1,ما اضيق العيش لولا فسحه الاملالحمد له  
1,يا اله استجب دعاءي ياله مادكيت بابك يوم ورحعتني خاليه الوفاض  
0,﻿  
0, قمه التخلف البشري اله يشفيهم  
0, كنا نقول عاهات  
1,﻿صباح الفل و الورد يا شيخ سلمان عطر اله صباحك بذكره و شكره و حسن عبادته  
1,قول يارب وخذ قرار   
0, لعن اله المتشبهين من الرجال لنساء  
1,الحمد له علي نعمه الاسلام  
1,﻿الهم لا تجعلنا من المنافقين  
1,ربنا يكفينا هذا الشر  
0,يارجاله ينهار﻿ منيل  
0,لو كاكا بالبرازيل كنت اعطيط لايك بس هيك فشر  
1,﻿اشهد اله اني احبك في اله و ادعوا ان نحشر مع حبيبنا و امامنا محمد صلي اله عليه و سلم في الجنه امين  
0,غبي من جده  
0, ثقيلين دم كثير  
1,يا شيخ خالد ربي يحفظك نبي منك طلب  
1,يا رب استجب دعاءنا وانصر اهلنا في سوريا  
1,لا كرامه في الحب والغرام  
1,انا فعلا مءمن بالفكره دي جدا وبحاول انفذها  
0,﻿المفاعل النوي سيحتاج لشريك استراتيجي يمتلكه او جزء كبير منه و ستدفع الحكومه الاردنيه ثمن الكهرباء لهذا المستثمر لذلك يوجد احتمال كبير ان ترتفع هذه الفاتوره  
0, اموت بصوتها  
0,كلو حكي فاضي  
1,﻿صباح هادء ۆ انفاس تحمل تفاءل ۆ يقين بان كل م سيكتبہ الہ لنا ﻓي كل يوم خير اصبحنا و اصبح الملك له  
0,لي جماعه الاخوان الخسيسه كيف بدكو الوطن يتصلح وانتو قسمتوه لفريقين كل واحد منكم اخدنا لمطرح ومش عارفين واصلين لوين  
1,الهم اجعلنا من ياخذون بالاسباب  
0,﻿لنفترض جدلا ان لا اضرار صحيه و بيءيه سينتج عن بناء مفاعلات نويه سلميه ، دعونا نفكر في الكلفه من حيث اولا كلفه بناء عاليه جدا لعدم امتلاكنا لهذه التكنولوجيا علي شكل ديون تثفل كاهل العشر اجيال القادمه، ثانيا لنفس السب سنستورد خبراء لتشغيل لسنوات طويله ما يزيد كلفه الطاقه وليس العكس ناهيك عن حصول اي اخطاء مفترضه مستقبلا ثالثا اين هو المكان البعيد عن المدن في الاردن واين مصدر المياه الكافيه لتبريد رابعامن حق المواطنين واصحاب القرار الحصول علي تقرير منشور لاثر البيءي مسبقا بنفس الوقت نستطيع الحصول علي نفس كميه الطاقه من الصخر الزيتي الذي نمتلك منه احتياطي هاءل ومن الغاز الطبيعي المءمل مستقبلا ومن الطاقه الشمسيه ومن طاقه الرياح بكلف نسبيا اقل بكثير من النوي دون اعباء ديون اضافيه  
0,واله انك ما زليه يا شيخ اكيد مدفوعله من تحت ل تحت  
0,انخرس  
0, اخر واحد يادلوخ ياحمير تمثيل  
0,﻿الاردن لا تمتلك اي الخبرات الفنيه في انشاء او صيانه او تشغيل المفاعلات النويه لاردن ليس لديها سوي شهادات دكتوراه في هذا المجال نظريه بحته ان انشاء مفاعل نوي يعني مقامره كامله بمءات الملاين و المضحك في الموضوع ان بدايه المشروع ستكون انشاء مفاعل تجريبي او تعليمي يتبع لهيءه الطاقه النويه اليس الاجدر بهكذا مفاعل ان يتبع لاحدي الجامعات علاوه علي ان كل هيءه الطاقه تم انشاها رضوه لفلان وعلنتان الاولي يا ساده ان يتم طرح انشاء شركه لتنقيب عن اليورانيوم وبيعه و لتصبح الاردن دوله مصدره لهذه الماده امر اخر كثر الحديث مءخرا عن انه يوجد في الاردن بترول و بكميات علي الاقل تكفي استهلكنا المحلي  
0, الغباء واضح  
1,الهم اني استغفرك واتوب اليك  
0, اسفل من بعضهم  
1,﻿الهم ثبت قلوبنا علي الايمان  
1,هستوكم  
0,يخسو الشيعه الخنزير  
1,اله يبارك فيك جميله  
0, ما بتحبو حد  
1,الهم تب علينا انك التواب الرحيم  
1, بالفعل لازم كل واحد بيتكلم عن الدين اقل مافيها يلتزم باقل مبادءه عشان يكون قدوه مش يخلي الناس تقول هو ده الدين  
0,يلعن شرفك شو واثقه من حالك  
0, كانت تسوي مقلب انها محترمه بعدين اعترفت انها  
0,فهم ادري واخبر لا وبل اكثر انكارا لشيعه وامثالهم  
1,احلي اشي في الحياه الاستقرار مع زوج صالح  
1,﻿الهم ما اصبح بي من نعمه او باحد من خلقك فمنك وحدك لا شريك فلك الحمد و لك الشكر  
1,مطلوب نصيحه منك لكي نستحضر الخشوع  
0, واله ما في اشي مزعلني الا انه اسمه محمد  
0,﻿التقدم والازدهار يكون مرتبط بقواعد الامن قبل الشروع في بناء المفاعل عليكم قراءه التقارير الصادره عن هيءه الطاقه و المخاطر التي سيجنيها الاردن جراء انشاء المفاعل يا عزيزي ديمونه انتهي عمره و سيكون المفاعل الاردني بديل في ارض ستكون مكبا لنفايات النويه المطلع اله  
1,يا اله ما احلاه من خبر واله فرحتوني  
0, سوبر سطار ولا بلاش  
1,الارواح جنود مجنده من تعارف منها اتلف ومن تنافر منها اختلف  
0,واحد واطي  
1,احيانا الوحده تزيل بعضا من الهموم  
0,ولكن كيف ان المفاعل النوي غير مضر بالبيءه فهمني  
1,راءع ولاجمل حب ربنا  
0,﻿انا اردني و بقول الشعب بيستاهل غلا اكثر من هيك  
1,تركنا كل شء من اجل رضا اله الهم ارضي عنا  
0,﻿بس تكون من سكان اربد و تكون قريب علي المفاعل النوي في جامعه التكنولوجيا و بتشرب من مياه اربد التي تبعد اقل من متر في باطن الارض حوض اليرموك عن مركز المفاعل بتقدر تعترض وين بدك تصرف المياه التي تخرج من المفاعل لا تقولوا مفاعل التكنولوجيا تدريبي بس اسمه مفاعل و بتخرج منه مخلفات نويه الدول الاوروبيه بدات الاستغناء عن المفاعلات النويه عندك مياه بالاردن من اجل تشغيل المفاعل قبل الحكم علي الاشخاص الذين يقومون ضد هذا المشروع اسالوا الجولوجين و اثرها علي المياه الجوفيه بتحداك اذا بتسال خالد طوقان عن الاثار الجانبيه من الفاعل النوي و جاوبكوا كلامي هذا من دكاتره جامعات مختصين في الجولوجيا و اثره علي المياه الجوفيه  
0,واله نوفي صح لسانك  
1,لهم املا قلبي بحبك وحب نبيك وحب كل عمل يقربني الي حبك  
1,باذن اله بديت ولو مءخرا بنفسي الحمد له  
0, ولا جورج في الزمنات بس حرام يفضحوهم  
0, اشي بقهر مش لا هل درجه  
0,نا بدي نموذج لسبونج بوب ه  
1,ونعم الصديق  
1,يا سلام علي الوفاء الي اتفقد في عصرنا ويا حسرتاه علي الحب الذي بات مجرد كلمات  
1,﻿صباحك مبروك و عدوك مهلوك  
0,عيب واله اسم المقطع  
1,عشان هيك قال النبي صلي اله عليه وسلم ان الكذب يهدي الي الفجوروالفجور يهدي الي النار  
0,اكيد بقرف  
1,يا رب قدرني  
1,﻿الهم اصلحنا و طهر قلوبنا من النفاق  
0, اجل الاخير واضح انو بيمثل وتمثيلو خايس هو والخايسين ذولا  
1,الامل باله كبير انشاله  
0, عاهات  
0, احس بمرض لاشفت هالبرنامج  
1,حياك اله  
0,﻿ياخوان احنا مع التطور بس منين نجيب سبعه عشر مليار دولار تكلفه المشروع لنبدا اولا باستغلال الرياح و الطاقه الشمسيه و الصخر الزيتي و نبد بتخفيف الفاتوره النفطيه و المثل بقول خذ من طين بلادك و حط علء خدادك  
0,ه ما بقدروا  
1,ان اله لا يضيع اجر المحسنين  
0, باله يا شباب وش رايكم بالاشكال هذه هل توقعون اهلهم كارهينهم والناس تجي لاهاليهم وتقول لهم حرام عليكم هذول من دمكم  
0,﻿ يلعن اوم السخافه  
1,﻿الهم اغفر لي و لامه المسلمين اجمعين  
0, وانا مع انو الطاقه الشمسيه هي البديل  
1,﻿جمال الصفحه من جمالكم و رقي اخلاقكم انا متاكد ان صفحتنا ستعجبك فانضم الينا و ادعو اصدقاءك فنحن نسعد بك و بهم  
1,اله عليك بجد رنا يهدينا كلنا ويهدي شباب المسلمين جميعا يارب العالمين  
0,﻿ نسيانك صعب اكيد  
1,﻿صباحك ورد و ياسمين معطرين بنسمات من الجنه يا شيخنا الجليل حفظك اله من كل سوء ، نحبك في اله  
1,﻿الهم قني عذاب النار و ادخلني جناتك  
1,خت قرار كتير وبرجع تاني بحاول اتغير ومش عرفه  
0,﻿ اوي شكد قاسي  
1,ربنا يصلح حالنا  
